tanggal,region,ump_daily,ump
2024-09-30,Jakarta Barat,168912.7,5067381.0
2024-10-01,Jakarta Barat,163463.90322580645,5067381.0
2024-10-02,Jakarta Barat,163463.90322580645,5067381.0
2024-10-03,Jakarta Barat,163463.90322580645,5067381.0
2024-10-04,Jakarta Barat,163463.90322580645,5067381.0
2024-10-05,Jakarta Barat,163463.90322580645,5067381.0
2024-10-06,Jakarta Barat,163463.90322580645,5067381.0
2024-10-07,Jakarta Barat,163463.90322580645,5067381.0
2024-10-08,Jakarta Barat,163463.90322580645,5067381.0
2024-10-09,Jakarta Barat,163463.90322580645,5067381.0
2024-10-10,Jakarta Barat,163463.90322580645,5067381.0
2024-10-11,Jakarta Barat,163463.90322580645,5067381.0
2024-10-12,Jakarta Barat,163463.90322580645,5067381.0
2024-10-13,Jakarta Barat,163463.90322580645,5067381.0
2024-10-14,Jakarta Barat,163463.90322580645,5067381.0
2024-10-15,Jakarta Barat,163463.90322580645,5067381.0
2024-10-16,Jakarta Barat,163463.90322580645,5067381.0
2024-10-17,Jakarta Barat,163463.90322580645,5067381.0
2024-10-18,Jakarta Barat,163463.90322580645,5067381.0
2024-10-19,Jakarta Barat,163463.90322580645,5067381.0
2024-10-20,Jakarta Barat,163463.90322580645,5067381.0
2024-10-21,Jakarta Barat,163463.90322580645,5067381.0
2024-10-22,Jakarta Barat,163463.90322580645,5067381.0
2024-10-23,Jakarta Barat,163463.90322580645,5067381.0
2024-10-24,Jakarta Barat,163463.90322580645,5067381.0
2024-10-25,Jakarta Barat,163463.90322580645,5067381.0
2024-10-26,Jakarta Barat,163463.90322580645,5067381.0
2024-10-27,Jakarta Barat,163463.90322580645,5067381.0
2024-10-28,Jakarta Barat,163463.90322580645,5067381.0
2024-10-29,Jakarta Barat,163463.90322580645,5067381.0
2024-10-30,Jakarta Barat,163463.90322580645,5067381.0
2024-10-31,Jakarta Barat,163463.90322580645,5067381.0
2024-11-01,Jakarta Barat,168912.7,5067381.0
2024-11-02,Jakarta Barat,168912.7,5067381.0
2024-11-03,Jakarta Barat,168912.7,5067381.0
2024-11-04,Jakarta Barat,168912.7,5067381.0
2024-11-05,Jakarta Barat,168912.7,5067381.0
2024-11-06,Jakarta Barat,168912.7,5067381.0
2024-11-07,Jakarta Barat,168912.7,5067381.0
2024-11-08,Jakarta Barat,168912.7,5067381.0
2024-11-09,Jakarta Barat,168912.7,5067381.0
2024-11-10,Jakarta Barat,168912.7,5067381.0
2024-11-11,Jakarta Barat,168912.7,5067381.0
2024-11-12,Jakarta Barat,168912.7,5067381.0
2024-11-13,Jakarta Barat,168912.7,5067381.0
2024-11-14,Jakarta Barat,168912.7,5067381.0
2024-11-15,Jakarta Barat,168912.7,5067381.0
2024-11-16,Jakarta Barat,168912.7,5067381.0
2024-11-17,Jakarta Barat,168912.7,5067381.0
2024-11-18,Jakarta Barat,168912.7,5067381.0
2024-11-19,Jakarta Barat,168912.7,5067381.0
2024-11-20,Jakarta Barat,168912.7,5067381.0
2024-11-21,Jakarta Barat,168912.7,5067381.0
2024-11-22,Jakarta Barat,168912.7,5067381.0
2024-11-23,Jakarta Barat,168912.7,5067381.0
2024-11-24,Jakarta Barat,168912.7,5067381.0
2024-11-25,Jakarta Barat,168912.7,5067381.0
2024-11-26,Jakarta Barat,168912.7,5067381.0
